Food_ID,Commodity,Category,Moisture_pct,Fat_pct,Protein_pct,pH,Respiration_Rate,Shelf_Life_Days,Storage_Temperature_C,Relative_Humidity_pct,Storage_Type,Transportation,Recommended_Packaging,Film_Thickness_um,OTR_Class,WVTR_Class,MAP_Suitable
F00001,Potato Chips,Snacks,2.15,29.88,6.12,6.38,Very_Low,178,24.9,72.0,Ambient,Long_Distance,Metallized_PET_PE,84,Low,Very_Low,Yes
F00002,Milk Powder,Dairy,4.02,25.88,26.02,6.55,Very_Low,355,24.9,61.0,Ambient,Long_Distance,Aluminum_Laminate,96,Very_Low,Very_Low,No
F00003,Tomato,Fresh Produce,101.08,0.24,0.91,4.24,High,13,5.5,87.0,Chilled,Refrigerated,Micro_Perforated_PE,37,High,High,Yes
F00004,Apple,Fresh Produce,88.04,0.36,0.26,3.55,High,56,4.8,81.0,Chilled,Long_Distance,Micro_Perforated_PE,48,High,High,Yes
F00005,Biscuits,Bakery,3.6,18.11,7.16,7.02,Very_Low,179,24.8,48.0,Ambient,Normal,BOPP_PE,56,Low,Low,No
F00006,Fresh Chicken,Meat,72.83,8.02,21.96,5.89,Very_Low,4,3.7,84.0,Chilled,Normal,PA_PE_Vacuum,89,Low,Very_Low,Yes
F00007,Frozen Peas,Frozen Vegetable,80.15,0.49,5.54,6.29,Low,361,-18.6,72.0,Frozen,Long_Distance,PE_Film,75,Medium,Low,Yes
F00008,Coffee Powder,Beverage,3.44,14.49,14.4,5.21,Very_Low,373,24.2,62.0,Ambient,Normal,Metallized_PET_PE,80,Very_Low,Very_Low,No
F00009,Peanuts,Nuts,6.11,51.26,24.97,6.69,Very_Low,156,25.4,60.0,Ambient,Long_Distance,Metallized_PET_PE,79,Very_Low,Very_Low,No
F00010,Cheese,Dairy,38.66,33.57,25.22,5.08,Very_Low,56,4.1,86.0,Chilled,Refrigerated,PA_PE_Vacuum,93,Low,Very_Low,Yes
F00011,Bread,Bakery,38.48,4.14,9.07,5.54,Very_Low,8,25.1,57.0,Ambient,Normal,LDPE_Bag,53,Medium,Medium,No
F00012,Mango,Fresh Produce,85.78,0.27,0.71,3.94,High,20,11.5,76.0,Chilled,Refrigerated,Breathable_PE,45,High,High,Yes
F00013,Carrot,Fresh Produce,86.94,0.14,0.69,6.15,High,30,5.0,91.0,Chilled,Refrigerated,Micro_Perforated_PE,35,High,High,Yes
F00014,Onion,Vegetable,86.61,0.0,1.11,5.45,Low,116,20.0,63.0,Ambient,Normal,Breathable_PP,49,High,Medium,Yes
F00015,Rice,Grain,12.1,0.9,7.41,6.27,Very_Low,351,25.1,49.0,Ambient,Long_Distance,HDPE,77,Low,Low,No
F00016,Wheat Flour,Grain,12.42,1.36,13.23,6.36,Very_Low,171,24.7,60.0,Ambient,Normal,HDPE,77,Low,Low,No
F00017,Ground Coffee,Beverage,3.22,14.57,13.77,5.13,Very_Low,373,23.8,63.0,Ambient,Normal,High_Barrier_Laminate,95,Very_Low,Very_Low,No
F00018,Butter,Dairy,15.86,82.35,1.1,6.26,Very_Low,128,5.3,82.0,Chilled,Normal,Aluminum_Foil_Laminate,89,Very_Low,Very_Low,No
F00019,Yogurt,Dairy,87.57,3.08,3.85,4.24,Very_Low,31,4.1,87.0,Chilled,Refrigerated,PP_Cup_Foil_Lid,52,Medium,Low,Yes
F00020,Fish,Seafood,76.6,5.27,20.34,6.18,Very_Low,5,1.0,86.0,Chilled,Normal,PA_PE_Vacuum,90,Low,Very_Low,Yes
F00021,Potato Chips,Snacks,2.0,29.66,5.92,6.07,Very_Low,188,25.5,63.0,Ambient,Normal,Metallized_PET_PE,71,Low,Very_Low,Yes
F00022,Milk Powder,Dairy,3.59,25.4,26.69,6.57,Very_Low,387,25.3,81.0,Ambient,Long_Distance,Aluminum_Laminate,100,Very_Low,Very_Low,No
F00023,Tomato,Fresh Produce,94.11,0.25,1.18,4.3,High,14,5.1,89.0,Chilled,Normal,Micro_Perforated_PE,38,High,High,Yes
F00024,Apple,Fresh Produce,85.73,0.23,0.51,3.69,High,57,4.7,84.0,Chilled,Long_Distance,Micro_Perforated_PE,31,High,High,Yes
F00025,Biscuits,Bakery,4.21,18.05,7.13,7.21,Very_Low,182,24.6,68.0,Ambient,Normal,BOPP_PE,60,Low,Low,No
F00026,Fresh Chicken,Meat,72.81,8.43,22.54,5.6,Very_Low,6,3.3,75.0,Chilled,Long_Distance,PA_PE_Vacuum,92,Low,Very_Low,Yes
F00027,Frozen Peas,Frozen Vegetable,79.46,0.42,5.21,6.02,Low,368,-18.9,84.0,Frozen,Normal,PE_Film,67,Medium,Low,Yes
F00028,Coffee Powder,Beverage,2.88,15.27,13.16,5.05,Very_Low,355,25.4,59.0,Ambient,Long_Distance,Metallized_PET_PE,83,Very_Low,Very_Low,No
F00029,Peanuts,Nuts,6.01,48.04,26.61,6.58,Very_Low,162,25.1,54.0,Ambient,Long_Distance,Metallized_PET_PE,84,Very_Low,Very_Low,No
F00030,Cheese,Dairy,36.21,33.83,26.34,5.12,Very_Low,55,3.8,86.0,Chilled,Normal,PA_PE_Vacuum,93,Low,Very_Low,Yes
F00031,Bread,Bakery,38.36,4.2,8.64,5.72,Very_Low,6,24.4,58.0,Ambient,Long_Distance,LDPE_Bag,59,Medium,Medium,No
F00032,Mango,Fresh Produce,85.47,0.46,0.75,3.75,High,21,10.1,85.0,Chilled,Normal,Breathable_PE,44,High,High,Yes
F00033,Carrot,Fresh Produce,90.14,0.35,0.93,6.11,High,31,5.5,76.0,Chilled,Normal,Micro_Perforated_PE,41,High,High,Yes
F00034,Onion,Vegetable,90.53,0.11,1.14,5.49,Low,117,20.1,67.0,Ambient,Long_Distance,Breathable_PP,48,High,Medium,Yes
F00035,Rice,Grain,11.63,0.62,7.41,6.5,Very_Low,375,24.9,59.0,Ambient,Normal,HDPE,77,Low,Low,No
F00036,Wheat Flour,Grain,11.75,1.44,13.29,6.17,Very_Low,180,25.1,70.0,Ambient,Long_Distance,HDPE,77,Low,Low,No
F00037,Ground Coffee,Beverage,3.05,15.48,14.32,4.87,Very_Low,349,25.4,65.0,Ambient,Long_Distance,High_Barrier_Laminate,79,Very_Low,Very_Low,No
F00038,Butter,Dairy,15.79,83.31,0.98,6.3,Very_Low,118,3.7,95.0,Chilled,Normal,Aluminum_Foil_Laminate,95,Very_Low,Very_Low,No
F00039,Yogurt,Dairy,87.44,2.92,3.83,4.43,Very_Low,33,4.2,85.0,Chilled,Long_Distance,PP_Cup_Foil_Lid,50,Medium,Low,Yes
F00040,Fish,Seafood,75.46,4.92,19.72,6.23,Very_Low,4,1.3,79.0,Chilled,Normal,PA_PE_Vacuum,89,Low,Very_Low,Yes
F00041,Potato Chips,Snacks,2.44,29.21,5.86,6.06,Very_Low,166,24.8,71.0,Ambient,Long_Distance,Metallized_PET_PE,70,Low,Very_Low,Yes
F00042,Milk Powder,Dairy,4.38,26.6,26.38,6.61,Very_Low,339,24.6,57.0,Ambient,Long_Distance,Aluminum_Laminate,102,Very_Low,Very_Low,No
F00043,Tomato,Fresh Produce,90.5,0.26,0.88,4.33,High,14,5.1,81.0,Chilled,Refrigerated,Micro_Perforated_PE,37,High,High,Yes
F00044,Apple,Fresh Produce,90.63,0.12,0.39,3.52,High,67,4.6,78.0,Chilled,Long_Distance,Micro_Perforated_PE,37,High,High,Yes
F00045,Biscuits,Bakery,3.59,17.7,6.83,6.84,Very_Low,177,24.2,73.0,Ambient,Long_Distance,BOPP_PE,53,Low,Low,No
F00046,Fresh Chicken,Meat,73.34,8.35,23.48,5.78,Very_Low,5,3.9,87.0,Chilled,Refrigerated,PA_PE_Vacuum,85,Low,Very_Low,Yes
